Titolo,Autore,ISBN,Editore,Data_Fatturazione,Giacenza,Vendute_Ultimi_30_Giorni,Prezzo_Copertina,Sconto_Libreria
Il giovane Holden,J.D. Salinger,9788881124831,Fazi,23/03/2024,3,2,16.00,4.80
Franny e Zooey,J.D. Salinger,9788881124848,Fazi,07/03/2024,2,2,14.00,4.20
Morte a La Fenice,Donna Leon,9788831710241,Marsilio,08/11/2023,5,2,17.00,5.10
Acqua alta,Donna Leon,9788831710258,Marsilio,10/09/2023,5,5,17.00,5.10
La donna di rispetto,Donna Leon,9788831710265,Marsilio,18/11/2023,4,1,17.00,5.10
Corruzione e morte di Todorov,Donna Leon,9788831710272,Marsilio,16/02/2024,3,1,17.00,5.10
2666,Roberto Bolano,9788893880571,Sur,18/09/2023,9,5,28.00,8.40
I detective selvaggi,Roberto Bolano,9788893880588,Sur,12/02/2024,3,1,24.00,7.20
Notturno cileno,Roberto Bolano,9788893880595,Sur,08/09/2023,5,1,16.00,4.80
Stella distante,Roberto Bolano,9788893880601,Sur,27/01/2024,8,4,15.00,4.50
I promessi sposi,Alessandro Manzoni,9788817060813,Rizzoli,28/11/2023,2,2,15.00,4.50
Il giro del mondo in 80 giorni,Jules Verne,9788817060837,Rizzoli,08/12/2023,6,1,12.00,3.60
Ventimila leghe sotto i mari,Jules Verne,9788817060844,Rizzoli,01/09/2023,1,1,12.00,3.60
Tre piani,Eshkol Nevo,9788806246457,Einaudi,03/12/2023,7,2,19.00,5.70
Senza mai arrivare in cima,Paolo Cognetti,9788806246464,Einaudi,17/02/2024,4,3,16.00,4.80
La bestia,Carmen Mola,9788804575474,Mondadori,18/02/2024,4,3,20.00,6.00
Dove la luce,Carmen Mola,9788804575467,Mondadori,20/10/2023,4,2,19.00,5.70
Luca,Alessandro Bertante,9788834600627,La Nave di Teseo,07/12/2023,10,8,20.00,6.00
Ada o ardore,Vladimir Nabokov,9788845900266,Adelphi,13/12/2023,6,3,22.00,6.60
Fuoco pallido,Vladimir Nabokov,9788845900259,Adelphi,20/12/2023,3,0,16.00,4.80
La settima funzione del linguaggio,Laurent Binet,9788875218512,Minimum Fax,29/12/2023,5,1,20.00,6.00
L universo in un guscio di noce,Stephen Hawking,9788842819418,Il Saggiatore,22/03/2024,2,1,20.00,6.00
M. Il padre della patria,Antonio Scurati,9788834600634,La Nave di Teseo,22/09/2023,6,6,22.00,6.60
Tenebre sul ghiaccio,Ann Cleeves,9788831710289,Marsilio,24/09/2023,6,3,18.00,5.40
Il caso Alaska Sanders,Joel Dicker,9788875218536,Minimum Fax,28/10/2023,2,1,22.00,6.60
Norwegian Wood (nuova ed.),Haruki Murakami,9788823516404,Guanda,07/09/2023,7,4,19.00,5.70
La mente del bambino,Maria Montessori,9788833923456,Bollati Boringhieri,15/03/2024,11,7,20.00,6.00
