Titolo,Autore,ISBN,Editore,Data_Fatturazione,Giacenza,Vendute_Ultimi_30_Giorni,Prezzo_Copertina,Sconto_Libreria
Le otto montagne,Paolo Cognetti,9788806246433,Einaudi,24/10/2023,1,1,18.00,5.40
Lessico famigliare,Natalia Ginzburg,9788806219451,Einaudi,08/09/2023,4,1,12.00,3.60
Liberta,Jonathan Franzen,9788806246518,Einaudi,08/07/2024,13,5,22.00,6.60
Pastorale americana,Philip Roth,9788806246471,Einaudi,19/04/2024,9,5,22.00,6.60
Qualcosa di scritto,Emanuele Trevi,9788806246426,Einaudi,28/12/2023,1,1,18.00,5.40
Resto qui,Marco Balzano,9788806246358,Einaudi,31/03/2024,1,1,17.00,5.10
Se questo e un uomo,Primo Levi,9788806189358,Einaudi,28/10/2023,3,1,12.00,3.60
Se una notte d inverno un viaggiatore,Italo Calvino,9788806219482,Einaudi,26/03/2024,1,1,13.00,3.90
Senza mai arrivare in cima,Paolo Cognetti,9788806246464,Einaudi,17/02/2024,1,1,16.00,4.80
Tre piani,Eshkol Nevo,9788806246457,Einaudi,03/12/2023,1,1,19.00,5.70
Un estate fredda,Gianrico Carofiglio,9788806246389,Einaudi,23/02/2024,1,1,17.00,5.10
Franny e Zooey,J.D. Salinger,9788881124848,Fazi,07/03/2024,1,1,14.00,4.20
Il giovane Holden,J.D. Salinger,9788881124831,Fazi,23/03/2024,1,1,16.00,4.80
1984,George Orwell,9788807902865,Feltrinelli,22/07/2024,13,7,14.00,4.20
Furore,John Steinbeck,9788807902841,Feltrinelli,23/05/2024,12,4,18.00,5.40
Il colibrì,Sandro Veronesi,9788807902926,Feltrinelli,13/09/2024,13,5,20.00,6.00
Il processo,Franz Kafka,9788807902741,Feltrinelli,15/02/2024,1,1,11.00,3.30
Il profumo delle foglie di limone,Clara Sanchez,9788807032547,Feltrinelli,07/08/2024,11,6,17.00,5.10
L istante e la sua durata,Massimo Recalcati,9788807032530,Feltrinelli,06/08/2024,10,8,20.00,6.00
La coscienza di Zeno,Italo Svevo,9788807902758,Feltrinelli,12/02/2024,1,1,14.00,4.20
La fattoria degli animali,George Orwell,9788807902858,Feltrinelli,16/09/2024,13,4,10.00,3.00
Notturno indiano,Antonio Tabucchi,9788807902889,Feltrinelli,07/04/2024,14,6,11.00,3.30
Novecento,Alessandro Baricco,9788807902919,Feltrinelli,22/04/2024,14,6,11.00,3.30
Oceano mare,Alessandro Baricco,9788807902896,Feltrinelli,18/06/2024,5,5,15.00,4.50
Seta,Alessandro Baricco,9788807902902,Feltrinelli,08/04/2024,12,4,13.00,3.90
Siddharta,Hermann Hesse,9788807902772,Feltrinelli,07/11/2023,1,1,13.00,3.90
Sostiene Pereira,Antonio Tabucchi,9788807902872,Feltrinelli,11/04/2024,6,6,13.00,3.90
Storia di una ladra di libri,Markus Zusak,9788807902789,Feltrinelli,09/03/2024,1,1,18.00,5.40
Uomini e topi,John Steinbeck,9788807902834,Feltrinelli,23/04/2024,5,5,10.00,3.00
XY,Sandro Veronesi,9788807902933,Feltrinelli,10/09/2024,14,7,19.00,5.70
Kafka sulla spiaggia,Haruki Murakami,9788823516359,Guanda,01/12/2023,1,1,20.00,6.00
Norwegian Wood,Haruki Murakami,9788823516342,Guanda,18/11/2023,1,1,18.00,5.40
Algoritmi di distruzione di massa,Cathy O Neil,9788842819425,Il Saggiatore,09/11/2023,1,0,20.00,6.00
Breve storia del tempo,Stephen Hawking,9788842819370,Il Saggiatore,18/02/2024,5,0,18.00,5.40
Cosmos,Carl Sagan,9788842819356,Il Saggiatore,02/11/2023,3,1,28.00,8.40
Il mondo di Sofia,Jostein Gaarder,9788842819363,Il Saggiatore,18/01/2024,1,0,20.00,6.00
L universo in un guscio di noce,Stephen Hawking,9788842819418,Il Saggiatore,22/03/2024,1,1,20.00,6.00
Perche crediamo,Agustin Fuentes,9788842819432,Il Saggiatore,13/07/2024,3,0,24.00,7.20
Quando Nietzsche piansi,Irvin D. Yalom,9788842819387,Il Saggiatore,05/10/2023,3,1,18.00,5.40
Il museo dell innocenza,Orhan Pamuk,9788870912258,Iperborea,31/01/2024,2,0,22.00,6.60
La signorina Smilla e il senso della neve,Peter Hoeg,9788870912289,Iperborea,01/10/2023,1,1,20.00,6.00
Mi chiamo Rosso,Orhan Pamuk,9788870912234,Iperborea,13/09/2023,3,0,22.00,6.60
Neve,Orhan Pamuk,9788870912241,Iperborea,15/09/2023,1,1,20.00,6.00
Tutto cio che e solido,David Szalay,9788870912272,Iperborea,06/02/2024,2,1,18.00,5.40
M. Il padre della patria,Antonio Scurati,9788834600634,La Nave di Teseo,22/09/2023,1,1,22.00,6.60
M. Il tempo del destino,Antonio Scurati,9788834600610,La Nave di Teseo,20/12/2023,1,1,22.00,6.60
M. L uomo della provvidenza,Antonio Scurati,9788834600603,La Nave di Teseo,04/12/2023,1,1,22.00,6.60
Acqua alta,Donna Leon,9788831710258,Marsilio,10/09/2023,1,1,17.00,5.10
Corruzione e morte di Todorov,Donna Leon,9788831710272,Marsilio,16/02/2024,1,1,17.00,5.10
La donna di rispetto,Donna Leon,9788831710265,Marsilio,18/11/2023,1,0,17.00,5.10
Morte a La Fenice,Donna Leon,9788831710241,Marsilio,08/11/2023,1,1,17.00,5.10
Tenebre sul ghiaccio,Ann Cleeves,9788831710289,Marsilio,24/09/2023,1,1,18.00,5.40
HHhH,Laurent Binet,9788875218529,Minimum Fax,27/01/2024,1,1,18.00,5.40
Il caso Alaska Sanders,Joel Dicker,9788875218536,Minimum Fax,28/10/2023,1,0,22.00,6.60
Infinite Jest,David Foster Wallace,9788875218451,Minimum Fax,14/12/2023,2,1,22.00,6.60
La barzelletta ha finito,David Foster Wallace,9788875218468,Minimum Fax,16/09/2023,1,0,18.00,5.40
La settima funzione del linguaggio,Laurent Binet,9788875218512,Minimum Fax,29/12/2023,1,1,20.00,6.00
La verita sul caso Harry Quebert,Joel Dicker,9788875218505,Minimum Fax,10/10/2023,1,0,20.00,6.00
Libra,Don DeLillo,9788875218499,Minimum Fax,18/12/2023,1,0,20.00,6.00
Underworld,Don DeLillo,9788875218482,Minimum Fax,07/11/2023,1,1,24.00,7.20
American Gods,Neil Gaiman,9788804575558,Mondadori,30/07/2024,8,4,20.00,6.00
Coraline,Neil Gaiman,9788804575565,Mondadori,14/06/2024,2,1,14.00,4.20
Cuore nero,Sandrone Dazieri,9788804575542,Mondadori,24/06/2024,8,2,20.00,6.00
Dove la luce,Carmen Mola,9788804575467,Mondadori,20/10/2023,1,1,19.00,5.70
Gomorra,Roberto Saviano,9788804575351,Mondadori,06/09/2023,1,1,14.00,4.20
Il cacciatore di aquiloni,Khaled Hosseini,9788804575382,Mondadori,19/02/2024,1,1,18.00,5.40
Il dottor Zivago,Boris Pasternak,9788804575481,Mondadori,20/10/2023,1,1,22.00,6.60
It,Stephen King,9788804575443,Mondadori,05/03/2024,1,1,22.00,6.60
La bestia,Carmen Mola,9788804575474,Mondadori,18/02/2024,1,1,20.00,6.00
La solitudine dei numeri primi,Paolo Giordano,9788804575368,Mondadori,19/09/2023,2,1,18.00,5.40
La strada,Cormac McCarthy,9788804575405,Mondadori,25/09/2023,1,1,16.00,4.80
Mille splendidi soli,Khaled Hosseini,9788804575399,Mondadori,02/11/2023,1,1,18.00,5.40
ZeroZeroZero,Roberto Saviano,9788804575375,Mondadori,24/11/2023,1,0,20.00,6.00
Dio di illusioni,Donna Tartt,9788854509443,Neri Pozza,11/12/2023,1,1,18.00,5.40
I dieci amori di Nishino,Hiromi Kawakami,9788854509474,Neri Pozza,07/02/2024,1,1,16.00,4.80
Il cielo e dei violenti,Flannery O Connor,9788854509481,Neri Pozza,08/01/2024,1,1,16.00,4.80
Con i peggiori,Giancarlo De Cataldo,9788817060868,Rizzoli,30/04/2024,3,3,20.00,6.00
I promessi sposi,Alessandro Manzoni,9788817060813,Rizzoli,28/11/2023,1,1,15.00,4.50
Il giro del mondo in 80 giorni,Jules Verne,9788817060837,Rizzoli,08/12/2023,1,1,12.00,3.60
La casa delle voci,Donato Carrisi,9788817060851,Rizzoli,26/07/2024,9,9,20.00,6.00
Romanzo criminale,Giancarlo De Cataldo,9788817060875,Rizzoli,19/07/2024,4,4,18.00,5.40
Ventimila leghe sotto i mari,Jules Verne,9788817060844,Rizzoli,01/09/2023,1,1,12.00,3.60
A ciascuno il suo,Leonardo Sciascia,9788838930355,Sellerio,17/06/2024,12,9,12.00,3.60
Il giorno della civetta,Leonardo Sciascia,9788838930348,Sellerio,20/09/2024,6,5,12.00,3.60
Il giro di boa,Andrea Camilleri,9788838930294,Sellerio,17/01/2024,1,1,13.00,3.90
L ultimo respiro,Andrea Camilleri,9788838930331,Sellerio,06/04/2024,14,8,14.00,4.20
La forma dell acqua,Andrea Camilleri,9788838930232,Sellerio,24/01/2024,1,1,13.00,3.90
La gita a Tindari,Andrea Camilleri,9788838930270,Sellerio,13/10/2023,1,1,13.00,3.90
La luna di carta,Andrea Camilleri,9788838930300,Sellerio,19/11/2023,1,1,13.00,3.90
La pazienza del ragno,Andrea Camilleri,9788838930287,Sellerio,03/02/2024,1,1,13.00,3.90
Todo modo,Leonardo Sciascia,9788838930362,Sellerio,22/06/2024,11,9,12.00,3.60
2666,Roberto Bolano,9788893880571,Sur,18/09/2023,1,1,28.00,8.40
I detective selvaggi,Roberto Bolano,9788893880588,Sur,12/02/2024,1,0,24.00,7.20
Notturno cileno,Roberto Bolano,9788893880595,Sur,08/09/2023,1,1,16.00,4.80
Stella distante,Roberto Bolano,9788893880601,Sur,27/01/2024,1,1,15.00,4.50
